# sha256	name	host	locator
# Generated and committed. Regenerate, never hand-merge.
9fd672b1c8425fac2fa67fa0477b990987268b90ff36d5f016dae57be0d6b52e	autoconf-2.73.tar.xz	mirror	https://ftpmirror.gnu.org/autoconf/autoconf-2.73.tar.xz
9fd672b1c8425fac2fa67fa0477b990987268b90ff36d5f016dae57be0d6b52e	autoconf-2.73.tar.xz	mirror	https://mirrors.kernel.org/gnu/autoconf/autoconf-2.73.tar.xz
168aa363278351b89af56684448f525a5bce5079d0b6842bd910fdd3f1646887	automake-1.18.1.tar.xz	mirror	https://ftpmirror.gnu.org/automake/automake-1.18.1.tar.xz
168aa363278351b89af56684448f525a5bce5079d0b6842bd910fdd3f1646887	automake-1.18.1.tar.xz	mirror	https://mirrors.kernel.org/gnu/automake/automake-1.18.1.tar.xz
32427e8c471ac095853212a37aef816c60b42052d4d9e48230bab3bdf2936ccc	freetype-2.14.1.tar.xz	mirror	https://downloads.sourceforge.net/freetype/freetype-2.14.1.tar.xz?use_mirror=altushost-swe
32427e8c471ac095853212a37aef816c60b42052d4d9e48230bab3bdf2936ccc	freetype-2.14.1.tar.xz	mirror	https://downloads.sourceforge.net/freetype/freetype-2.14.1.tar.xz?use_mirror=master
32427e8c471ac095853212a37aef816c60b42052d4d9e48230bab3bdf2936ccc	freetype-2.14.1.tar.xz	mirror	https://downloads.sourceforge.net/freetype/freetype-2.14.1.tar.xz?use_mirror=netcologne
32427e8c471ac095853212a37aef816c60b42052d4d9e48230bab3bdf2936ccc	freetype-2.14.1.tar.xz	mirror	https://downloads.sourceforge.net/freetype/freetype-2.14.1.tar.xz?use_mirror=phoenixnap
5818bd7d80b061bbbdfec8a433d609dc8818a05991f731ffc4a561e2ca18c653	git-2.53.0.tar.xz	mirror	https://cdn.kernel.org/pub/software/scm/git/git-2.53.0.tar.xz
5818bd7d80b061bbbdfec8a433d609dc8818a05991f731ffc4a561e2ca18c653	git-2.53.0.tar.xz	mirror	https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.53.0.tar.xz
fd87e0aba7e43ae054837afd6cd4db03a3f2693deb3619085e6ed9d8d9604ad8	gperf-3.3.tar.gz	mirror	https://mirrors.kernel.org/gnu/gperf/gperf-3.3.tar.gz
0d5f60154382fee10b114a1c34e785d8b1f492073ae2d3a6f7b147687b366aa0	hello-2.12.3.tar.gz	mirror	https://ftpmirror.gnu.org/hello/hello-2.12.3.tar.gz
0d5f60154382fee10b114a1c34e785d8b1f492073ae2d3a6f7b147687b366aa0	hello-2.12.3.tar.gz	mirror	https://mirrors.kernel.org/gnu/hello/hello-2.12.3.tar.gz
d925722864837ad5ae2a82070d4b2e0603dc72af44bd457c3962298258b8e82d	libpng-1.6.55.tar.xz	mirror	https://downloads.sourceforge.net/libpng/libpng-1.6.55.tar.xz?use_mirror=altushost-swe
d925722864837ad5ae2a82070d4b2e0603dc72af44bd457c3962298258b8e82d	libpng-1.6.55.tar.xz	mirror	https://downloads.sourceforge.net/libpng/libpng-1.6.55.tar.xz?use_mirror=master
d925722864837ad5ae2a82070d4b2e0603dc72af44bd457c3962298258b8e82d	libpng-1.6.55.tar.xz	mirror	https://downloads.sourceforge.net/libpng/libpng-1.6.55.tar.xz?use_mirror=netcologne
d925722864837ad5ae2a82070d4b2e0603dc72af44bd457c3962298258b8e82d	libpng-1.6.55.tar.xz	mirror	https://downloads.sourceforge.net/libpng/libpng-1.6.55.tar.xz?use_mirror=phoenixnap
2ef1067c16c97db930fd740cc9bc3d3ba9a583804ae5ac42cc3e8719e49e191e	libtool-2.6.2.tar.xz	mirror	https://ftpmirror.gnu.org/libtool/libtool-2.6.2.tar.xz
2ef1067c16c97db930fd740cc9bc3d3ba9a583804ae5ac42cc3e8719e49e191e	libtool-2.6.2.tar.xz	mirror	https://mirrors.kernel.org/gnu/libtool/libtool-2.6.2.tar.xz
f25c6ab51548a73a75558742fb031e0625d6485fe5f9155949d6486a2408ab66	m4-1.4.21.tar.xz	mirror	https://ftpmirror.gnu.org/m4/m4-1.4.21.tar.xz
f25c6ab51548a73a75558742fb031e0625d6485fe5f9155949d6486a2408ab66	m4-1.4.21.tar.xz	mirror	https://mirrors.kernel.org/gnu/m4/m4-1.4.21.tar.xz
355b4cbbed880b0381a04c46617b7656e362585d52e9cf84a67e2009b749ff11	ncurses-6.6.tar.gz	mirror	https://ftpmirror.gnu.org/ncurses/ncurses-6.6.tar.gz
355b4cbbed880b0381a04c46617b7656e362585d52e9cf84a67e2009b749ff11	ncurses-6.6.tar.gz	mirror	https://mirrors.kernel.org/gnu/ncurses/ncurses-6.6.tar.gz
3acd3a8a3cce65a8d620321855d92fb602e026cbe8e13ee36bdec58483b59ace	pkgconf-3.0.5.tar.xz	github	https://github.com/Joey-Fuentes/Veron/releases/download/src/pkgconf-3.0.5.tar.xz/3acd3a8a-pkgconf-3.0.5.tar.xz
3acd3a8a3cce65a8d620321855d92fb602e026cbe8e13ee36bdec58483b59ace	pkgconf-3.0.5.tar.xz	upstream	https://github.com/pkgconf/pkgconf/releases/download/pkgconf-3.0.5/pkgconf-3.0.5.tar.xz
fe5383204467828cd495ee8d1d3c037a7eba1389c22bc6a041f627976f9061cc	readline-8.3.tar.gz	mirror	https://ftpmirror.gnu.org/readline/readline-8.3.tar.gz
fe5383204467828cd495ee8d1d3c037a7eba1389c22bc6a041f627976f9061cc	readline-8.3.tar.gz	mirror	https://mirrors.kernel.org/gnu/readline/readline-8.3.tar.gz
